epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.353202,1.72834,3.41544,1.75701,0.01315,0.5,0.02327,0.00932,1.76784,4.42594,2.01787,0,0,0
2,0.84966,1.56176,3.70342,1.50897,0.02128,0.55556,0.03129,0.01419,1.73891,4.40571,1.98405,9.90005e-06,9.90005e-06,9.90005e-06
3,1.34319,1.77456,3.64153,1.76949,0.02142,0.61111,0.03276,0.01481,1.74935,4.41896,1.99427,1.96002e-05,1.96002e-05,1.96002e-05
4,1.84482,1.57938,3.59803,1.57803,0.06928,0.33333,0.10823,0.05092,1.56901,4.18182,1.65345,2.91004e-05,2.91004e-05,2.91004e-05
5,2.64082,1.50504,3.26807,1.52549,0.06928,0.33333,0.10823,0.05092,1.56901,4.18182,1.65345,3.84008e-05,3.84008e-05,3.84008e-05
6,3.42109,1.44696,3.31825,1.46517,0.15928,0.33333,0.16164,0.06821,1.47337,4.01673,1.49421,4.75013e-05,4.75013e-05,4.75013e-05
7,4.23562,1.36225,2.9627,1.56459,0.15928,0.33333,0.16164,0.06821,1.47337,4.01673,1.49421,5.64018e-05,5.64018e-05,5.64018e-05
8,5.09524,1.41715,3.04726,1.57545,0.43336,0.5,0.30916,0.18912,1.29395,3.61831,1.44927,6.51025e-05,6.51025e-05,6.51025e-05
9,5.87239,1.1075,2.19549,1.34446,0.43336,0.5,0.30916,0.18912,1.29395,3.61831,1.44927,7.36032e-05,7.36032e-05,7.36032e-05
10,6.70459,0.9613,2.23563,1.25444,0.40106,0.55556,0.38913,0.25519,1.05407,3.00347,1.29029,8.1904e-05,8.1904e-05,8.1904e-05
11,7.62292,1.04247,1.96118,1.2563,0.40106,0.55556,0.38913,0.25519,1.05407,3.00347,1.29029,9.0005e-05,9.0005e-05,9.0005e-05
12,8.38048,0.9138,1.64462,1.25143,0.40106,0.55556,0.38913,0.25519,1.05407,3.00347,1.29029,9.79061e-05,9.79061e-05,9.79061e-05
13,9.15725,1.16597,2.03256,1.56544,0.40896,0.58251,0.44484,0.29379,1.00758,2.75129,1.2885,0.000105607,0.000105607,0.000105607
14,9.94037,1.08908,2.00481,1.44261,0.40896,0.58251,0.44484,0.29379,1.00758,2.75129,1.2885,0.000113108,0.000113108,0.000113108
15,10.6937,1.00524,1.91306,1.29903,0.40896,0.58251,0.44484,0.29379,1.00758,2.75129,1.2885,0.00012041,0.00012041,0.00012041
16,11.5166,0.99544,2.56232,1.20693,0.47278,0.77778,0.56438,0.44411,0.78004,2.0117,1.1726,0.000127511,0.000127511,0.000127511
17,12.298,0.81863,1.75882,1.23163,0.47278,0.77778,0.56438,0.44411,0.78004,2.0117,1.1726,0.000134413,0.000134413,0.000134413
18,13.0553,0.96461,1.97578,1.21665,0.47278,0.77778,0.56438,0.44411,0.78004,2.0117,1.1726,0.000141114,0.000141114,0.000141114
19,13.8575,0.97955,1.44284,1.22168,0.47278,0.77778,0.56438,0.44411,0.78004,2.0117,1.1726,0.000147616,0.000147616,0.000147616
20,14.6632,0.95518,1.51422,1.18095,0.57851,0.83333,0.76454,0.61617,0.76669,1.61649,1.10646,0.000153918,0.000153918,0.000153918
21,15.42,0.77609,1.32942,1.1133,0.57851,0.83333,0.76454,0.61617,0.76669,1.61649,1.10646,0.00016002,0.00016002,0.00016002
22,16.3137,1.17782,1.62993,1.09598,0.57851,0.83333,0.76454,0.61617,0.76669,1.61649,1.10646,0.000165922,0.000165922,0.000165922
23,17.0821,0.95021,1.27441,1.17725,0.57851,0.83333,0.76454,0.61617,0.76669,1.61649,1.10646,0.000171624,0.000171624,0.000171624
24,17.9496,0.95446,1.36689,1.04958,0.67571,0.92642,0.85315,0.68155,0.74956,1.80572,1.0528,0.000177126,0.000177126,0.000177126
25,18.7054,0.64172,0.98669,1.01349,0.67571,0.92642,0.85315,0.68155,0.74956,1.80572,1.0528,0.000182429,0.000182429,0.000182429
26,19.4489,0.71031,1.24725,1.00045,0.67571,0.92642,0.85315,0.68155,0.74956,1.80572,1.0528,0.000187531,0.000187531,0.000187531
27,20.2349,0.78505,1.07931,1.07398,0.67571,0.92642,0.85315,0.68155,0.74956,1.80572,1.0528,0.000192434,0.000192434,0.000192434
28,20.9913,0.86059,1.17935,1.04587,0.67571,0.92642,0.85315,0.68155,0.74956,1.80572,1.0528,0.000197136,0.000197136,0.000197136
29,21.7658,0.73699,0.97632,0.98543,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000201639,0.000201639,0.000201639
30,22.5007,0.71993,1.11113,1.07046,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000205942,0.000205942,0.000205942
31,23.2397,0.67987,1.03102,1.03255,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000210045,0.000210045,0.000210045
32,24.1345,0.79977,1.32388,1.10129,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000213948,0.000213948,0.000213948
33,24.901,0.71619,1.04536,1.0034,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000217651,0.000217651,0.000217651
34,25.6614,0.59523,0.98322,0.95299,0.70332,1,0.88065,0.71511,0.73351,1.83077,1.04067,0.000221154,0.000221154,0.000221154
35,26.4659,0.79524,1.21649,1.08346,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000224458,0.000224458,0.000224458
36,27.2202,0.44276,0.76123,0.86161,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000227561,0.000227561,0.000227561
37,27.9618,0.6189,0.87812,0.93663,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000230465,0.000230465,0.000230465
38,28.7108,0.59849,0.96875,0.98623,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000233168,0.000233168,0.000233168
39,29.4879,0.71108,0.95056,1.07143,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000235672,0.000235672,0.000235672
40,30.2376,0.63014,0.80347,0.9879,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.000237976,0.000237976,0.000237976
41,31.0172,0.5795,0.9314,0.98881,0.73355,0.91594,0.85302,0.73786,0.67298,1.41354,1.07773,0.00024008,0.00024008,0.00024008
42,31.8975,0.62653,0.84775,1.00756,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000241984,0.000241984,0.000241984
43,32.6606,0.5043,0.69089,0.89142,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000243688,0.000243688,0.000243688
44,33.4748,0.63619,0.70397,0.92077,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000245192,0.000245192,0.000245192
45,34.2473,0.47363,0.75287,0.9226,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000246497,0.000246497,0.000246497
46,35.0098,0.61523,1.21245,1.07395,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000247601,0.000247601,0.000247601
47,35.7585,0.58606,0.80745,0.97598,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000248506,0.000248506,0.000248506
48,36.5116,0.60281,1.02296,1.07941,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.00024921,0.00024921,0.00024921
49,37.24,0.68671,0.84372,1.02667,0.74006,0.82733,0.87439,0.74197,0.6662,1.05214,1.06907,0.000249715,0.000249715,0.000249715
50,38.0387,0.60525,0.72709,0.93735,0.76372,0.96153,0.92232,0.76922,0.71955,0.91109,1.07292,0.00025002,0.00025002,0.00025002
51,38.8039,0.50391,0.75339,0.88915,0.76372,0.96153,0.92232,0.76922,0.71955,0.91109,1.07292,0.000250125,0.000250125,0.000250125
52,39.6869,0.55662,0.67903,0.88464,0.76372,0.96153,0.92232,0.76922,0.71955,0.91109,1.07292,0.00025003,0.00025003,0.00025003
53,40.4744,0.49122,0.88253,0.90594,0.76372,0.96153,0.92232,0.76922,0.71955,0.91109,1.07292,0.000249735,0.000249735,0.000249735
